channel_idx,mean_abs_activation
184,2.8134208
216,2.48826
595,2.3862617
688,2.3068435
561,2.031997
756,1.9387237
574,1.877935
581,1.8142878
645,1.7317266
268,1.6906394
555,1.6479404
25,1.6304991
734,1.6051139
497,1.5959053
37,1.5852119
224,1.4633478
628,1.4203293
122,1.372829
173,1.3686874
496,1.333025
468,1.32607
366,1.2882733
353,1.2708044
84,1.2657719
531,1.2432207
431,1.2431775
293,1.234447
69,1.217802
453,1.2011849
128,1.1848097
480,1.1716601
537,1.1699272
228,1.1692607
642,1.1577045
324,1.1550956
243,1.1549112
376,1.1453793
707,1.1335572
382,1.1330705
310,1.1329088
741,1.1267425
390,1.1232946
285,1.1184236
39,1.1174904
414,1.1013094
215,1.0973696
705,1.0940989
202,1.0837897
0,1.0818701
702,1.0797608
432,1.0767431
447,1.0750102
717,1.0703976
735,1.0655671
543,1.0638121
196,1.0578462
18,1.0451187
186,1.0386004
207,1.0326264
699,1.0318166
308,1.0303733
711,1.0288482
646,1.026182
708,1.0200227
672,1.0179641
656,1.0152742
134,1.0121174
521,1.0114677
514,1.0043619
557,1.00169
475,1.0009921
157,0.99768656
159,0.9921282
129,0.988548
415,0.98669666
107,0.98640496
242,0.9852443
371,0.9832023
267,0.9821755
321,0.98004735
98,0.979705
634,0.9768244
721,0.9681353
351,0.96733326
516,0.9642668
14,0.9594163
737,0.9593062
59,0.9577838
608,0.9569259
126,0.95689446
618,0.9559143
151,0.95215905
88,0.9397135
352,0.9329811
345,0.9307772
629,0.9251375
582,0.9240052
217,0.92312366
379,0.92252576
76,0.92201287
223,0.9217992
552,0.91962963
248,0.91904473
593,0.91632915
110,0.9154749
731,0.91544807
56,0.91156274
457,0.9115585
539,0.9089976
258,0.9085395
112,0.9083375
198,0.9053886
294,0.9048762
567,0.90410936
209,0.9030306
381,0.90240467
439,0.89993584
239,0.8997293
454,0.89944524
337,0.898576
79,0.8980638
729,0.89685994
373,0.89282054
360,0.8921061
452,0.8920156
123,0.8917782
299,0.89026445
49,0.8892864
579,0.8854006
280,0.8847315
254,0.8843892
437,0.8820699
639,0.8818911
139,0.8814209
615,0.8806553
385,0.87955415
273,0.87943643
594,0.8754281
752,0.8754172
660,0.8751226
149,0.8745307
155,0.87185955
241,0.8717965
743,0.87118584
314,0.8678785
218,0.8664274
89,0.8657478
174,0.8655724
357,0.865431
343,0.8640014
60,0.85879904
182,0.85832804
726,0.85811216
692,0.857194
307,0.8551643
270,0.8536548
43,0.8521965
515,0.85132897
626,0.85086006
208,0.8506124
398,0.8499872
592,0.8480709
456,0.8474421
577,0.8464019
409,0.84602976
244,0.8442334
607,0.84362763
283,0.84348357
512,0.8430687
683,0.8419697
401,0.8397595
486,0.83902645
82,0.83811295
368,0.8378023
638,0.8369907
269,0.8354011
103,0.8352324
522,0.8333901
498,0.8324464
680,0.83225346
724,0.8321099
584,0.8309063
535,0.8291105
546,0.8271102
448,0.8260428
322,0.8240817
158,0.8229526
380,0.8228448
696,0.82238936
17,0.82126874
370,0.8205421
187,0.81932217
334,0.8170406
508,0.81517553
562,0.8148949
750,0.81399095
152,0.8137992
393,0.8133622
753,0.81003207
651,0.809935
732,0.80987936
686,0.8089786
636,0.80319214
238,0.8022194
169,0.8020555
339,0.80162597
